Album Name,Artist,Spotify URI,credit: YOUR NAME HERE!,Anthony Fantano's Score
Clinging To A Scheme,The Radio Dept.,spotify:album:6JPRvwSakxGHjMQM18AcAu,Robert Crowe,8
Something For Everybody,Devo,spotify:album:2j0GggDDCSeY6vpccGLIq1,Luis Liz ,6
Sex Dreams and Denim Jeans,Uffie,spotify:album:53mU2L8Ngi8zFAD9JoXNqx,Robert Crowe,2
The ArchAndroid,Janelle Monáe,spotify:album:7MvSB0JTdtl1pSwZcgvYQX,Luis Liz ,8
Homeland,Laurie Anderson,spotify:album:4ak54Q9kwqnyRL6yLkbFBO,Luis Liz ,8
Does It Look Like I'm Here?,Emeralds,spotify:album:0c0XkZh9vWXg473nchoArI,Robert Crowe,6
Cloud Cuckooland,Various Artists,spotify:album:35mXzvB6A3EGzSuS7LVf2j,Robert Crowe,7
Expo 86,Wolf Parade,spotify:album:4jQW2mhMH3TxtAOol3Djuf,Thomas Buckley,6
How I Got Over,The Roots,spotify:album:25sYZjutddzUpXNbeQ7bEC,Thomas Buckley,8
King of the Beach,Wavves,spotify:album:0cxv5saitGFOFPc6hGTHHg,Robert Crowe,8
The People's Record,Club 8,spotify:album:2tMy9Wv6gGmQvHOrr6TcCX,Thomas Buckley,5
Sir Lucious Left Foot: The Son of Chico Dusty,Big Boi,spotify:album:44LD8m6xCy2rSPNjflDbGb,Henry Aiello,6
Desert Fires,Noveller,spotify:album:0GZMsKdDsbNhxvM1VaxB0U,Andres Pena,7
Urgency,Superhumanoids,spotify:album:19cAWBNXr4GVOFM3VamI9J,Robert Crowe,8
Mount Wittenberg Orca,Dirty Projectors and Bjork,spotify:album:1C9sn8azB8qNZyPSCgkNJz,Andres Pena,8
Maya (/\/\ /\ Y /\),MIA,spotify:album:7hJOaKxZsmHPa3InCzYBwe,Lucas Barnes,5
The Way Out,The Books,spotify:album:7GutGLnvQaDBedEDbwHIvM,Luis Liz ,9
Cerulean,Baths,spotify:album:66Pk1ZQyHpMjF2Fm7qjqQY,Luis Liz ,8
Paramatma,Mono/Poly,spotify:album:0dtwAdxFXGQ7UGa9Aykyj3,Luis Liz ,6
Crazy For You,Best Coast,spotify:album:2lLjGAmDHjCNiydZ4Yp8bT,Luis Liz ,5
Gemini,Wild Nothing,spotify:album:2UoAYpQzSNLuW47goFJE5x,Thomas Buckley,7
The Suburbs,Arcade Fire,spotify:album:3DrgM5X3yX1JP1liNLAOHI,Thomas Buckley,8
Rohnert Park,Ceremony,spotify:album:4GgEN2tP6Ltzg88qeG1yh6,Thomas Buckley,8
Self-Titled,Daughters,spotify:album:1xYjZUrVUjcUPnpdnHD9nf,CB,8
The Budos Band III,The Budos Band,spotify:album:5BJCJrQUmzt5mgoGCM5SYL,Thomas Buckley,5
Transit Transit,Autolux,spotify:album:6iJBreBJhU6Xrx5TON6UZo,Thomas Buckley,6
Afro-Beat Airways,Various Artists,spotify:album:4ogePZ3mtDw3frtBFbkhGZ,Thomas Buckley,8
Summit,Thou,spotify:album:3UA6p4FQsgOhJpkCDdy0na,CB,7
The Final Frontier,Iron Maiden,spotify:album:1qwuDINuttWBKVx64FiOIj,Luis Liz ,6
Four More Years,Teen Daze,spotify:album:1Wd5OBKhPGGHHVEhzX2e48,( Anonymous ),7
All Delighted People,Sufjan Stevens,spotify:album:79aBySIboEq6ZcQ7bcq5me,Andres Pena,8
Treasure State,Matmos and So Percussion,spotify:album:7da4TBfoF00HH6iVDrSR14,Andres Pena,6
Surfing the Void,Klaxons,spotify:album:32RxIrvDSTYpxikhD7Gl3S,CB,4
Special Moves,Mogwai,spotify:album:7zp05wb2lhp0PHNWDmF3Rk,CB,8
Memphis,Magic Kids,spotify:album:3pNoBx5913VWGKfd5X51w1,CB,8
Self-Titled,Interpol,spotify:album:2ctZCcXzXWZMoVXDt1rFqK,CB,5
Illumination,Miami Horror,spotify:album:1Nb8xRzI4OVThbG3ewobwY,CB,7
Lawless Darkness,Watain,spotify:album:2pQr4wN4SN9Ax3gdXDhrRz,CB,6
Patagonian Rats,Tera Melos,spotify:album:0oFIuYGhwfe3edv5TgowbT,CB,5
Hurley,Weezer,spotify:album:1vhQIBznzVjSCQw26WlMsB,CB,7
False Priest,of Montreal,spotify:album:5SFAreGbKibBApvimb4srL,CB,5
Penny Sparkle,Blonde Redhead,spotify:album:4QV5imG1Iz9tzHOR0IfUwn,CB,8
Grinderman 2,Grinderman,spotify:album:5XqENSDSTSveo4eBTwjrW1,Luis Liz ,7
Lisbon,The Walkmen,spotify:album:2v2BwHGqd49ldR6pK4XOMP,Luis Liz ,5
Business Casual,Chromeo,spotify:album:7iZU6KMPD0iT7QqtMkTmL1,Luis Liz ,9
In Evening Air,Future Islands,spotify:album:0bVZZUftetJmkK0Ms8S6Z0,Luis Liz ,7
Album of the Year,Black Milk,spotify:album:2ZQedN95ddF8NpF2t7DGhn,Luis Liz ,4
Wilderness Heart,Black Mountain,spotify:album:7HiIz7nui3LtGVY62ORP3b,Luis Liz ,6
Pattern+Grid World,Flying Lotus,spotify:album:0MlrEKgaeLjTMbOCyOzjbR,Luis Liz ,8
My Father Will Guide Me Up a Rope to the Sky,Swans,spotify:album:5qyGtkaN9N50H0YnK1zDza,Luis Liz ,6
Halcyon Digest,Deerhunter,spotify:album:1HUMjB15ARg96KIypcGzYY,Luis Liz ,8
Unsilent Death,Nails,spotify:album:0i3KerJQ8wBx60b44jwe0y,Luis Liz ,9
Everything In Between,No Age,spotify:album:2z4uH38UepxHIt6wKF0ArH,Luis Liz ,6
Le Noise,Neil Young,spotify:album:4j9JVeEgEEiwYyYMiueTvG,Luis Liz ,5
Public Strain,Women,spotify:album:70TgSPZ7rkVPH3KnJlgCYS,Thomas Buckley,9
King Night,Salem,spotify:album:4fo5lGl9uaSlSRlEvB2rhf,Luis Liz ,2
Sometimes the Blues Is Just a Passing Bird,The Tallest Man On Earth,spotify:album:2HJq69QcbyE2XCx2gRgWrU,Luis Liz ,8
Crush,Abe Vigoda,spotify:album:3eKBdAn0qJBNg6sxxzQeLE,Luis Liz ,4
Forget,Twin Shadow,spotify:album:5FJNfe8y08XaQAzOquOgV9,Thomas Buckley,8
Record Collection,Mark Ronson & The Business Intl.,spotify:album:0m8wvW3WNm9D7J0KUlbf3h,Thomas Buckley,5
The Age of Adz,Sufjan Stevens,spotify:album:5U7GN7wM8nZKYeeOoYhPjC,Thomas Buckley,6
Play It Strange,The Fresh & Onlys,spotify:album:6Z0GV47fGK4hcnzklj80OX,Thomas Buckley,4
Holkham Drones,Luke Abbott,spotify:album:63K4wMXKn5w0hPvIkU2gOC,Thomas Buckley,8
Epic,Sharon Van Etten,spotify:album:7mfSdEokzQjI5AxwrRauZv,Thomas Buckley,7
Down There,Avey Tare,spotify:album:0NCoz2HOENum5BVShVJlXe,Thomas Buckley,5
Death Gate,The Gaslamp Killer,spotify:album:6WSmOCaSmjWPV2zGMigAt1,Thomas Buckley,7
Come Around Sundown,Kings of Leon,spotify:album:5xFZ4iElFbUFtOGX4lvdTM,Thomas Buckley,4
Face Tat,Zach Hill,spotify:album:4YM04MdeuE7h3mziHsvy9v,Thomas Buckley,5
Black City,Matthew Dear,spotify:album:3mG00wgKTaMIvJsGOE4y1t,Thomas Buckley,7
The Fool,Warpaint,spotify:album:1gXKtAtrUSnwExgSN76QiK,SPOOPI,6
Special Affections,Diamond Rings,spotify:album:0r36d6LGncXSNy3OrUfGtX,Thomas Buckley,8
Satan Worshipping Doom,Bongripper,spotify:album:5gU8TMe9ZXZ9ym7KqPzxB1,Thomas Buckley,8
Love Remains,How To Dress Well,spotify:album:1PPXfny6bTg4AwboeIBT5h,SPOOPI,4
Black Masses,Electric Wizard,spotify:album:6bIxluBOaQoe9AozdWI2rU,Thomas Buckley,6
Small Craft On A Milk Sea,Brian Eno,spotify:album:47e7SP8MtzYKK8Lm3gEK2i,Thomas Buckley,8
Man on the Moon II: The Legend of Mr. Rager,Kid Cudi,spotify:album:08eM9GRdr5BCCHNqS3Wwud,Thomas Buckley,6
Lucky Shiner,Gold Panda,spotify:album:1EYoTU6wVYppkw8CLpXoyJ,Thomas Buckley,7
The Lady Killer,Cee Lo Green,spotify:album:3MXU6UoWrf4w4bOvjZTlvY,Robert Crowe,7
Sports,Weekend,spotify:album:1bPJHbd0MRqxd19WDYlv85,Lucas Barnes,8
Ardour,Teebs,spotify:album:4NtIc6H8UadGHAYysXqzkc,Robert Crowe,6
My Beautiful Dark Twisted Fantasy,Kanye West,spotify:album:20r762YmB5HeofjMCiPMLv,Thomas Buckley,6
Marrow of the Spirit,Agalloch,spotify:album:69dtvmEbd0xejAVrqOuzDO,Andres Pena,8
Broken Dreams Club,Girls,spotify:album:7BckGE6X3hGi0L1TDO43PN,Andres Pena,5
Ring,Glasser,spotify:album:4yIc2xhi7JEBdMcvybuhbw,Thomas Buckley,8
Pyramid of the Sun,Maserati,spotify:album:40c3LuO08WpTEKA65BrMJO,Thomas Buckley,7
First Four EPs,Off!,spotify:album:4RbG8CVXYo3in9d1cVAZnt,Thomas Buckley,8
Bastard,"Tyler, The Creator",spotify:album:2EL4Tqtj9eXAjxcKPDIyu1,Thomas Buckley,7
Scary Monsters and Nice Sprites,Skrillex,spotify:album:35tQBmq1RblVUzAvfsw5uO,Lucas Barnes,7
Self-Titled,Anika,spotify:album:0wcr6i3pA9jWXEBD8V44rM,CB,3
Senior,Röyksopp,spotify:album:3UmeKB7yfDWGue5RdX1HnG,Emerson K,5
Rising Sun,The Souljazz Orchestra,spotify:album:38DQJSrHZa2KEcir9cdjxx,AidanAce,8
Apollo Kids,Ghostface Killah,spotify:album:3hPl7uRfNdRvoRW0kUzkVk,AidanAce,8
The Fall,Gorillaz,spotify:album:5jJGGsAztgUEXUHHZ2zrah,AidanAce,5
TSOL,Shad,spotify:album:6YjlYwMzmwlwZcm4EUX5R9,AidanAce,6
Self-Titled,All Pigs Must DIe,spotify:album:2ZjlfQheUJ8Q4MxoPruYLB,CB,7
Showroom of Compassion,Cake,spotify:album:01VQW8EUe8ZG0MrkiukGL8,AidanAce,7
Red Barked Tree,Wire,spotify:album:3Tm6OMfXk7PffAEt4NAkmX,AidanAce,5
Valhalla Dancehall,British Sea Power,spotify:album:30v7ves6lmxqFRRonwRWTr,AidanAce,8
"Thank You, Happy Birthday",Cage the Elephant,spotify:album:0WizSRN8LuMWhliou9PFlg,AidanAce,5
Opus Eponymous,Ghost,spotify:album:7xusHmkJUWt1XqPrM3pC9U,AidanAce,8
After School Special,A-1,spotify:album:1v03Nuya9ryt5M7ceKUF8Q,AidanAce,7
Dye It Blonde,Smith Westerns,spotify:album:5pez3ZFdESESBL9M5KElgt,AidanAce,7
Ritual,White Lies,spotify:album:58A93Bgcf6lFLGDrdTKUcf,Stan Monsta X,4
Unlearn,Fergus & Geronimo,spotify:album:2w3tAfVs5CvdLEPUN0vg9u,AidanAce,8
Kaputt,Destroyer,spotify:album:4WtvNVR7QeHUZGtHth9zND,CB,9
The King Is Dead,The Decemberists,spotify:album:3hd8GiXOy4KUTxVDVUDT5F,CB,4
Self-Titled,Kvelertak,spotify:album:6B7T5VqGQ6eCn0tGNhyCfY,CB,8
Native Speaker,Braids,spotify:album:7gvUdQ8T5L05d0ROOsIsP1,Thomas Buckley,7
White Wilderness,John Vanderslice,spotify:album:6QJaUt3O7jthQjSC6vXDv0,Thomas Buckley,6
Elephants at the Door,Dumbo Gets Mad,spotify:album:5AboigmcctvSRcBYktFtuZ,Thomas Buckley,8
"Angels of Darkness, Demons of Light I",Earth,spotify:album:7230YkSQN2EA4zAIWGxhBB,Thomas Buckley,7
Zonoscope,Cut Copy,spotify:album:5SFPr07PUPCT4YSaZjYeRR,Andres Pena,5
James Blake,James Blake,spotify:album:0qY6lBQSi8IMJjHYDPdAqX,Stan Monsta X,7
Self-Titled 7'',Natural Child,spotify:album:2e35ujO7FDQZSMBcLsUTsW,CB,8
"Hardcore Will Never Die, but You Will",Mogwai,spotify:album:7w4z35rOtFKt9gHRTU6Qil,Stan Monsta X,8
Angels Exodus,Lil B,spotify:album:2Rx7aDr2gtQVXmNOdaZZPG,Emerson K,3
V,Vreid,spotify:album:7h3ZzukQsatCJ0lNV6jYie,Emerson K,6
Space Is Only Noise,Nicolas Jaar,spotify:album:0tUJcqDuXHNkaPKLN0lQhT,Emerson K,8
The King of Limbs,Radiohead,spotify:album:1DBkJIEoeHrTX4WCBQGcCi,Emerson K,6
New History Warfare Vol. 2: Judges,Colin Stetson,spotify:album:78lkl1creFzx7oBXdiT1mI,Emerson K,8
Underneath the Pine,Toro Y Moi,spotify:album:00wmVs9BwWaSjLXBAzwUPq,Emerson K,6
Let England Shake,PJ Harvey,spotify:album:2f8Rfpdol5jrJe3OL4YH6k,Emerson K,8
Higher Learning Vol. 2,Fashawn,spotify:album:50cKcSmA9WNslW8pJQAgWi,Emerson K,6
Self-TItled,Yuck,spotify:album:6QnitwXJs3b2fbf9Cbdp6x,Emerson K,5
Mosaik,Siriusmo,spotify:album:5joNe9uuYWY9GjJlpASff2,Emerson K,7
All Eternals Deck,The Mountain Goats,spotify:album:4BO39f8LC0mZ6NEfBakDs2,Emerson K,8
"Different Gear, Still Speeding",Beady Eye,spotify:album:2ZM0VfAs5US4z7J0A2EUZc,Emerson K,3
Jason...The Dragon,Weedeater,spotify:album:2TOup5N69VhUHM9LQUPU4n,badBlackShark,7
"Ravedeath, 1972",Tim Hecker,spotify:album:6Iu8toVsvCc3I4INxYiVIy,badBlackShark ,8
Lasers,Lupe Fiasco,spotify:album:1j0apvEvaWbTmlZpKsfr2D,badBlackShark,3
Shaolin vs. Wu-Tang,Raekwon,spotify:album:3N9IY9o0oOOWwj3zn6FjWK,Stan Monsta X,5
Fallen,Burzum,spotify:album:29dkmoYR82SDkgGZpqsDNE,badBlackShark,6
R.E.K.S.,Reks,spotify:album:1Vzbc7NOGCHxDKLp1efCp6,CB,8
Angles,The Strokes,spotify:album:6Jx4cGhWHewTcfKDJKguBQ,Toby Bi,7
Belong,The Pains of Being Pure at Heart,spotify:album:1q4wx4kMSPLwVhVlOI6UlX,Stan Monsta X,8
Idle Labor,Craft Spells,spotify:album:3IzLouGQA5uY4NfT6zNe3j,Stan Monsta X,8
Mind Bokeh,Bibio,spotify:album:4VXEMU4mlHvP5Zb8M83wM2,Stan Monsta X,5
Darker Handcraft,Trap Them,spotify:album:5mdfU5YxMPnwFwJQMC9rBj,Emerson K,7
Tomboy,Panda Bear,spotify:album:1vYkQBRJeGrQr88MnrMSgl,Emerson K,5
Holy Ghost!,Holy Ghost!,spotify:album:3xtRQotGGgB32MRL13N0Eu,Emerson K,8
What Did You Expect From the Vaccines?,The Vaccines,spotify:album:6eWtdQm0hSlTgpkbw4LaBG,Emerson K,6
Creep On Creepin' On,Timber Timbre,spotify:album:2tWkGlUTyWZcVsqryi8U1q,Emerson K,8
Nine Types of Light,TV on the Radio,spotify:album:0FvrvaVsWQ7kTdGzipW6HV,Emerson K,6
House of Balloons,The Weeknd,spotify:album:2YHC9dhR9vMTdCeY0T1FOs,CB,3
In Love With Oblivion,Crystal Stilts,spotify:album:1UHK3Mqp8L83GzIrGHr6Ds,Emerson K,8
The English Riviera,Metronomy,spotify:album:716fnrS2qXChPC3J2X73pK,Emerson K,7
Wasting Light,Foo Fighters,spotify:album:5lnQLEUiVDkLbFJHXHQu9m,Emerson K,6
Cursed,Rotten Sound,spotify:album:0uw3vENcOeIdTzkOZYLZuX,Emerson K,5
Dirge,Wormrot,spotify:album:753v8ajoypUj7zgGnIHTuu,Emerson K,8
W H O K I L L,tUnE-yArDs,spotify:album:7rBLvpL7ZWi1YCSXSLUZKF,Emerson K,7
Blood Pressures,The Kills,spotify:album:0PjRCiXdp6TQPXojFRB0AX,Emerson K,4
Apocalypse,Bill Callahan,spotify:album:4RBHgVw8kR6IpXVnZhZrh0,Emerson K,6
Oneirology,CunninLynguists,spotify:album:276GJQROaVFWuxjiVe0qG4,AidanAce,8
Hot Sauce Committee Part Two,Beastie Boys,spotify:album:1vQYbqslni0jVfvaVK2lvx,Emerson K,9
"Take Care, Take Care, Take Care",Explosions In the Sky,spotify:album:1Wt6rLZR8j5kgYG9hsnZ7H,AidanAce,5
Helplessness Blues,Fleet Foxes,spotify:album:7LKzVm90JnhNMPF6qX21fS,AidanAce,9
Burst Apart,The Antlers,spotify:album:1VQq6vAHE5jKzvrRpizdx2,AidanAce,4
Exmilitary,Death Grips,spotify:album:2WIJUm8je4Pz033J9pP2uA,CB,8
Goblin,"Tyler, The Creator",spotify:album:7tjZ51DOxwxIcnY20ThkaV,AidanAce,4
Smother,Wild Beasts,spotify:album:4yfi9CePcYX0vCXzkMDyDE,AidanAce,7
Aesthethica,Liturgy,spotify:album:4qutu7PdlUa7ZdYzsXI1EW,AidanAce,8
Simple Math,Manchester Orchestra,spotify:album:56Bi6PRYQ2JDGGLntLjoMI,AidanAce,4
ISAM,Amon Tobin,spotify:album:6JiPQzrQs9VTk0cRW9kyS2,AidanAce,7
Homo,The UV Race,spotify:album:5aaKz1N9TjW3PZ6PXi2R7i,CB,8
Tunnel Blanket,This Will Destroy You,spotify:album:3zExduRbGvqe29XkSde9lA,AidanAce,6
Self-Titled,Balkans,spotify:album:0vAzZE6Z6Jw05CpjxAqKo3,CB,7
Elmatic,Elzhi,spotify:album:04DOnsOFx8MrXA1JpjwZLH,AidanAce,8
Heavy Rocks / Attention Please,Boris,spotify:album:2NyGXIHVBWHJe2ygXC3p5c,Stan Monsta X,6
Blue Suicide,Coma Cinema,spotify:album:5z2CoCLOZfFwqbNzfYCCyB,AidanAce,7
Circuital,My Morning Jacket,spotify:album:6CEe43cNzYyvRwHoRR2wFM,AidanAce,5
Lover's Holiday,Theophilus London,spotify:album:1Mzfsq687TVj29DvXaS2Ql,AidanAce,8
Codes and Keys,Death Cab for Cutie,spotify:album:26HVbJdxW1zC799gz8yzUr,AidanAce,7
Time Is Up,Havok,spotify:album:7275posUjEJ7H9tLyaxyLH,AidanAce,8
W,Planningtorock,spotify:album:7MHPpakj7Hc5YsouS0OaOv,( Anonymous ),2
Sun and Shade,Woods,spotify:album:1rZJIfmPw3VT6s84lcTBom,AidanAce,5
Suck It and See,Arctic Monkeys,spotify:album:2KhJyDQAtauN6plT5PkfnV,Emerson K,5
Snake Oil,Snake Oil,spotify:album:0fJYtXaaBthf6TBpkabFo9,Emerson K,7
Gloss Drop,Battles,spotify:album:1O58FiA79FsPVDezRyTlU3,Emerson K,9
David Comes to Life,Fucked Up,spotify:album:7exqkn1MEoUhfDRMjwCOgm,Emerson K,5
Go Tell Fire To The Mountain,WU LYF,spotify:album:3YUCk9Q1vjWsZsTur93sQP,Emerson K,5
Living With the Ancients,Blood Ceremony,spotify:album:6bKqi8Frze1lsrnRhkaSuT,CB,7
Hell: The Sequel,Bad Meets Evil,spotify:album:5abCMGtyHwpOr9cEbwfP1P,Emerson K,6
Bon Iver,Bon Iver,spotify:album:1JlvIsP2f6ckoa62aN7kLn,Emerson K,6
New Brigade,Iceage,spotify:album:6vlGKE1mG5wxiqNE6fYXOF,Emerson K,8
SBTRKT,SBTRKT,spotify:album:5fP2kgfePJZF4nB1XqC1i8,Emerson K,8
Cults,Cults,spotify:album:2jb0zRewft3L2AwCOMx3du,Emerson K,4
Black Up,Shabazz Palaces,spotify:album:7BivjtZDPMhWSyCPCt7rau,Emerson K,8
Sam Baker's Album,Samiyam,spotify:album:05RYlm0UNVJJGOXXzSaF6Z,Emerson K,5
Strange Moosic,Herman Dune,spotify:album:3Fw8pgPJrbHn85GNgUeM4c,CB,7
The Destroyers of All,Ulcerate,spotify:album:478Px1irXROQF5tleOq5WG,Emerson K,7
Section.80,Kendrick Lamar,spotify:album:1bkN9nIkkCnXeG4yitVS1J,Emerson K,8
Within and Without,Washed Out,spotify:album:0vYB6MiRN1DAlZe79uR3LR,EMerson K,6
Skying,The Horrors,spotify:album:1xY0RQRX9rLE7PpL3hNZO3,CB,7
Escape Velocity,Zombi,spotify:album:4IqAz9EBlwFdDrfesz3cCD,Stan Monsta X,8
Parting the Sea Between Brightness and Me,Touche Amore,spotify:album:3IcaDZx8NwboAOJItYq6lh,Stan Monsta X,7
When Fish Ride Bicycles,The Cool Kids,spotify:album:3izETQ8Engz8v6Zkg0aOyX,Stan Monsta X,4
Conjure and Command,Toxic Holocaust,spotify:album:37C6YgkW0GLoxuSAvAPkUi,Stan Monsta X,8
In the Mountain In the Cloud,Portugal. The Man,spotify:album:1OWNvsDzhEwT5cXLlo9iO7,Stan Monsta X,6
Join Us,They Might Be Giants,spotify:album:69HFkyVMVy1b2aRLYBHG0i,Sam B,5
Ritual Union,Little Dragon,spotify:album:1BQVdofe7ROnSoaiC9418p,Sam B,8
BlackenedWhite,MellowHype,spotify:album:0Jf1UeKNGQPE0VqtB3aicu,Sam B,6
Towards the Megalith,Disma,spotify:album:0yOqMTXhGpFcEHTPwLsryf,Sam B,9
Self-Titled,Unknown Mortal Orchestra,spotify:album:5P4ipdl7UMu9MvVwjX1pHE,Sam B,5
Room(s),Machinedrum,spotify:album:7Hr1eh9tqthDQVG8jzAWr9,Sam B,6
Satin Panthers,Hudson Mohawke,spotify:album:0d99LxnQpiPLgSGDRuU9HT,Sam B,7
The Rip Tide,Beirut,spotify:album:5o6rAfcrvCMOE2Xdu1SHIz,Sam B,6
Watch the Throne,Kanye West & Jay-Z,spotify:album:0OcMap99vLEeGkBCfCwRwS,Sam B,5
Coin Coin Chapter One: Gens de Couleur Libres,Matana Roberts,spotify:album:0tW455SpputB3fiss2Wv0H,Sam B,8
Cerebral Ballzy,Cerebral Ballzy,spotify:album:2iXlEpQWbpp3ERwU91Fmu9,Sam B,3
Pressure & Time,Rival Sons,spotify:album:5zD6AMrPIPyJc0ZEb5W4Wr,Sam B,7
?????????? (Apocalypse / Apokalypsis),Chelsea Wolfe,spotify:album:6FyvLNb26bBDQ9ViXlEy5i,Sam B,8
Slave Ambient,The War On Drugs,spotify:album:5qjRZRHEUy9SJuZBtbXJXu,Sam B,6
93 Million Miles,Africa Hitech,spotify:album:2eU2JKfw6eLmOuClVCpTe5,Sam B,8
You Are All I See,Active Child,spotify:album:0naMIQoMmwqmpXiO7qFqCX,Sam B,6
XXX,Danny Brown,spotify:album:1QESrfmlfAl19Gr8mXcysi,Sam B,8
Honkey Kong,Apathy,spotify:album:6sFG56qG3RjYAVgWl63vyS,Sam B,7
Giles Corey,Giles Corey,spotify:album:55U9LPwlaFmsgOsLyJnrmu,Sam B,8
I'm With You,Red Hot Chili Peppers,spotify:album:5wZtSIvijWCMc1vlPFqAyB,Sam B,5
Tha Carter IV,Lil Wayne,spotify:album:1MGEMBqM3v8OUM2glv7MSx,Sam B,3
Tripper,Hella,spotify:album:0hO63UQyDQqhPTip3rZyaL,Sam B,6
Bad Vibes,Shlohmo,spotify:album:3VpOUMVf32y2WQasgqmGPn,Sam B,7
"Father, Son, Holy Ghost",Girls,spotify:album:66wRO7SK0Wo1KS40en2tua,Sam B,7
The Golden Age of Apocalypse,Thundercat,spotify:album:4MxlHAeujuvJy5OYWCXT2s,Sam B,8
Leave Home,The Men,spotify:album:3s8LZeNXwos7nVJFttQVgZ,Sam B,6
Celestial Lineage,Wolves In the Throne Room,spotify:album:3LHSxySCaooKrQxuLtuYSV,Sam B,6
Strange Mercy,St. Vincent,spotify:album:1Lci4bx7JIuCC8pnBNX7ds,Sam B,8
Relax,Das Racist,spotify:album:3QGe7G53Aau5JEZweW5p8X,Sam B,6
Self-Titled,Veronica Falls,spotify:album:02oz6Rr7JK31RIRHtzUx2g,Sam B,8
Knife Man,Andrew Jackson Jihad,spotify:album:131vOQexOX9KXcOvcK4vM9,Sam B,8
Heritage,Opeth,spotify:album:6I6rZw3H59ka6nDYsXcpDC,Sam B,5
Self-Titled,Wild Flag,spotify:album:2HcZpInX7XfjQ69EsGKrhS,Sam B,7
The Hunter,Mastodon,spotify:album:5Zjhls03el4wXkmtcZEi8b,Sam B,5
Cole World: The Sideline Story,J. Cole,spotify:album:0fhmJYVhW0e4i33pCLPA5i,Sam B,6
The Whole Love,Wilco,spotify:album:5HelbMCeX3uTOZFxRMHF3w,Stan Monsta X,7
Wildlife,La Dispute,spotify:album:3UhrWFsSl3c0vGyuwf9CQZ,Stan Monsta X,8
Enough Thunder,James Blake,spotify:album:4Ss3RK7115gnEY66i7C5dG,Austin Diaz,5
Metals,Feist,spotify:album:16EdRx2P4PVgZFK53UF3JD,Austin DIaz,4
Glass Swords,Rustie,spotify:album:13kdLV4OxOBbqnGcJqkcKS,Stan Monsta X,7
Rules,Civil Civic,spotify:album:7izBnh7qhlSiI0u9JcsiCA,boybobby,7
Abzu,Absu,spotify:album:1esQITow8cGQZqn1XtNRrK,boybobby,8
Severant,Kuedo,spotify:album:4E68d3pPsJlzNqVbR1amZP,boybobby,6
"Hurry Up, We're Dreaming",M83,spotify:album:6R0ynY7RF20ofs9GJR5TXR,Austin Diaz,4
Bad As Me,Tom Waits,spotify:album:5kngzyNwERbKiQDvVwsgMt,Austin Diaz,7
Looping State of Mind,The Field,spotify:album:3fASgexUtIr2a7jAGaIeNP,Stan Monsta X,7
"Audio, Video, Disco",Justice,spotify:album:0dLnnm4PjeyqM4CoHqo6DI,Austin DIaz,5
